booking_id,passenger_id,flight_id,booking_date,status,seat_number,status_valid
B1000,P1591,AI192,2025-06-14 11:37:36.951,CANCELLED,3D,True
B1001,P1803,6E026,2025-11-02 11:37:36.951,CANCELLED,18A,True
B1002,P1083,SJ010,2025-08-25 11:37:36.951,CANCELLED,30C,True
B1003,P1364,AI069,2025-12-30 11:37:36.951,CONFIRMED,33A,True
B1004,P1885,UK003,2025-10-02 11:37:36.951,PENDING,25C,True
B1005,P1548,AI048,2025-08-31 11:37:36.951,CONFIRMED,13D,True
B1006,P1341,AI140,2025-06-29 11:37:36.951,CANCELLED,17F,True
B1007,P1838,UK167,2026-03-12 11:37:36.951,CONFIRMED,22E,True
B1008,P1406,AI245,2025-09-07 11:37:36.951,PENDING,34F,True
B1009,P1424,SJ158,2025-04-28 11:37:36.951,CANCELLED,33C,True
B1010,P1743,AI155,2025-11-24 11:37:36.951,CONFIRMED,15B,True
B1011,P1092,AI179,2025-10-25 11:37:36.951,CONFIRMED,22C,True
B1012,P1847,AI137,2025-08-15 11:37:36.951,PENDING,28B,True
B1013,P1613,SJ001,2025-07-20 11:37:36.951,CONFIRMED,26E,True
B1014,P1411,SJ172,2025-09-15 11:37:36.951,PENDING,21E,True
B1016,P1677,UK027,2026-01-13 11:37:36.951,CANCELLED,6A,True
B1017,P1158,UK067,2026-04-04 11:37:36.951,CONFIRMED,13B,True
B1018,P1013,6E196,2026-03-25 11:37:36.951,CANCELLED,19B,True
B1019,P1372,6E164,2025-07-31 11:37:36.951,CANCELLED,19A,True
B1020,P1224,SJ112,2025-12-06 11:37:36.951,CONFIRMED,27B,True
B1021,P1504,6E190,2025-12-07 11:37:36.951,CANCELLED,4E,True
B1022,P1072,AI080,2026-03-25 11:37:36.951,CONFIRMED,16F,True
B1023,P1248,6E213,2026-02-03 11:37:36.951,PENDING,24B,True
B1024,P1510,AI115,2025-06-21 11:37:36.951,PENDING,30F,True
B1025,P1602,SJ049,2026-03-18 11:37:36.951,PENDING,1B,True
B1026,P1215,AI058,2025-06-27 11:37:36.951,CONFIRMED,32C,True
B1027,P1972,UK036,2025-07-25 11:37:36.951,CONFIRMED,22A,True
B1028,P1601,SJ239,2025-05-25 11:37:36.951,CANCELLED,26E,True
B1029,P1540,6E025,2025-06-06 11:37:36.951,CANCELLED,19C,True
B1030,P1946,6E236,2026-03-18 11:37:36.951,CANCELLED,21E,True
B1031,P1816,AI060,2025-11-16 11:37:36.951,CANCELLED,1E,True
B1032,P1938,UK021,2025-09-03 11:37:36.951,CANCELLED,18E,True
B1034,P1219,SJ179,2025-12-31 11:37:36.951,CONFIRMED,22F,True
B1035,P1839,6E251,2025-08-21 11:37:36.951,PENDING,11D,True
