source,destination,route,route_key
BLR,BOM,BLR → BOM,1
BLR,CCU,BLR → CCU,2
BLR,DEL,BLR → DEL,3
BLR,HYD,BLR → HYD,4
BLR,MAA,BLR → MAA,5
BOM,BLR,BOM → BLR,6
BOM,CCU,BOM → CCU,7
BOM,DEL,BOM → DEL,8
BOM,HYD,BOM → HYD,9
BOM,MAA,BOM → MAA,10
CCU,BLR,CCU → BLR,11
CCU,BOM,CCU → BOM,12
CCU,DEL,CCU → DEL,13
CCU,HYD,CCU → HYD,14
CCU,MAA,CCU → MAA,15
DEL,BLR,DEL → BLR,16
DEL,BOM,DEL → BOM,17
DEL,CCU,DEL → CCU,18
DEL,HYD,DEL → HYD,19
DEL,MAA,DEL → MAA,20
HYD,BLR,HYD → BLR,21
HYD,BOM,HYD → BOM,22
HYD,CCU,HYD → CCU,23
HYD,DEL,HYD → DEL,24
HYD,MAA,HYD → MAA,25
MAA,BLR,MAA → BLR,26
MAA,BOM,MAA → BOM,27
MAA,CCU,MAA → CCU,28
MAA,DEL,MAA → DEL,29
MAA,HYD,MAA → HYD,30
