flight_key,flight_id,airline_key,airline,route_key,date_key,source,destination,route,departure_datetime,arrival_datetime,departure_date,departure_hour,arrival_date,arrival_hour,flight_duration_minutes,flight_duration_hours,is_overnight,duration_anomaly
1,SJ010,3,SpiceJet,15,20260420,CCU,MAA,CCU → MAA,2026-04-20 23:38:41.701,2026-04-21 02:32:41.701,2026-04-20,23,2026-04-21,2,174.0,2.9,0,0
2,AI155,1,Air India,7,20260420,BOM,CCU,BOM → CCU,2026-04-20 23:35:41.703,2026-04-21 01:23:41.703,2026-04-20,23,2026-04-21,1,108.0,1.8,0,0
3,UK094,4,Vistara,7,20260420,BOM,CCU,BOM → CCU,2026-04-20 23:26:41.702,2026-04-21 01:11:41.702,2026-04-20,23,2026-04-21,1,105.0,1.75,0,0
4,AI245,1,Air India,7,20260420,BOM,CCU,BOM → CCU,2026-04-20 23:07:41.704,2026-04-21 01:43:41.704,2026-04-20,23,2026-04-21,1,156.0,2.6,0,0
5,AI192,1,Air India,27,20260420,MAA,BOM,MAA → BOM,2026-04-20 23:05:41.703,2026-04-21 04:04:41.703,2026-04-20,23,2026-04-21,4,299.0,4.983333333333333,0,0
6,SJ158,3,SpiceJet,19,20260420,DEL,HYD,DEL → HYD,2026-04-20 23:05:41.703,2026-04-21 01:24:41.703,2026-04-20,23,2026-04-21,1,139.0,2.316666666666667,0,0
7,6E196,2,IndiGo,15,20260420,CCU,MAA,CCU → MAA,2026-04-20 23:04:41.703,2026-04-21 00:47:41.703,2026-04-20,23,2026-04-21,0,103.0,1.7166666666666666,0,0
8,AI080,1,Air India,9,20260420,BOM,HYD,BOM → HYD,2026-04-20 23:03:41.702,2026-04-21 00:35:41.702,2026-04-20,23,2026-04-21,0,92.0,1.5333333333333334,0,0
9,6E025,2,IndiGo,1,20260420,BLR,BOM,BLR → BOM,2026-04-20 23:02:41.701,2026-04-20 23:57:41.701,2026-04-20,23,2026-04-20,23,55.0,0.9166666666666666,0,0
10,6E251,2,IndiGo,16,20260420,DEL,BLR,DEL → BLR,2026-04-20 22:56:41.703,2026-04-20 23:37:41.703,2026-04-20,22,2026-04-20,23,41.0,0.6833333333333333,0,0
11,AI137,1,Air India,8,20260420,BOM,DEL,BOM → DEL,2026-04-20 22:49:41.702,2026-04-21 01:17:41.702,2026-04-20,22,2026-04-21,1,148.0,2.466666666666667,0,0
12,6E026,2,IndiGo,7,20260420,BOM,CCU,BOM → CCU,2026-04-20 22:46:42.000,2026-04-21 03:13:42.000,2026-04-20,22,2026-04-21,3,267.0,4.45,0,0
13,UK167,4,Vistara,20,20260420,DEL,MAA,DEL → MAA,2026-04-20 22:45:41.703,2026-04-21 01:46:41.703,2026-04-20,22,2026-04-21,1,181.0,3.0166666666666666,0,0
14,UK027,4,Vistara,7,20260420,BOM,CCU,BOM → CCU,2026-04-20 22:44:41.701,2026-04-21 01:05:41.701,2026-04-20,22,2026-04-21,1,141.0,2.35,0,0
15,AI069,1,Air India,17,20260420,DEL,BOM,DEL → BOM,2026-04-20 22:43:41.702,2026-04-21 02:29:41.702,2026-04-20,22,2026-04-21,2,226.0,3.7666666666666666,0,0
16,AI058,1,Air India,7,20260420,BOM,CCU,BOM → CCU,2026-04-20 22:40:41.701,2026-04-21 00:18:41.701,2026-04-20,22,2026-04-21,0,98.0,1.6333333333333333,0,0
17,AI140,1,Air India,8,20260420,BOM,DEL,BOM → DEL,2026-04-20 22:25:41.702,2026-04-21 02:08:41.702,2026-04-20,22,2026-04-21,2,223.0,3.716666666666667,0,0
18,SJ239,3,SpiceJet,7,20260420,BOM,CCU,BOM → CCU,2026-04-20 22:24:41.704,2026-04-21 00:10:41.704,2026-04-20,22,2026-04-21,0,106.0,1.7666666666666666,0,0
19,6E099,2,IndiGo,29,20260420,MAA,DEL,MAA → DEL,2026-04-20 22:24:41.702,2026-04-20 22:59:41.702,2026-04-20,22,2026-04-20,22,35.0,0.5833333333333334,0,0
20,AI048,1,Air India,13,20260420,CCU,DEL,CCU → DEL,2026-04-20 22:23:41.701,2026-04-21 02:15:41.701,2026-04-20,22,2026-04-21,2,232.0,3.8666666666666667,0,0
21,SJ112,3,SpiceJet,24,20260420,HYD,DEL,HYD → DEL,2026-04-20 22:20:41.702,2026-04-21 00:40:41.702,2026-04-20,22,2026-04-21,0,140.0,2.3333333333333335,0,0
22,6E164,2,IndiGo,1,20260420,BLR,BOM,BLR → BOM,2026-04-20 22:18:41.703,2026-04-21 00:45:41.703,2026-04-20,22,2026-04-21,0,147.0,2.45,0,0
23,UK021,4,Vistara,25,20260420,HYD,MAA,HYD → MAA,2026-04-20 22:00:41.701,2026-04-20 23:50:41.701,2026-04-20,22,2026-04-20,23,110.0,1.8333333333333333,0,0
24,SJ172,3,SpiceJet,13,20260420,CCU,DEL,CCU → DEL,2026-04-20 21:58:41.703,2026-04-21 01:14:41.703,2026-04-20,21,2026-04-21,1,196.0,3.2666666666666666,0,0
25,AI060,1,Air India,19,20260420,DEL,HYD,DEL → HYD,2026-04-20 21:58:41.701,2026-04-20 23:51:41.701,2026-04-20,21,2026-04-20,23,113.0,1.8833333333333333,0,0
26,SJ205,3,SpiceJet,23,20260420,HYD,CCU,HYD → CCU,2026-04-20 21:56:41.703,2026-04-20 23:00:41.703,2026-04-20,21,2026-04-20,23,64.0,1.0666666666666667,0,0
27,SJ093,3,SpiceJet,1,20260420,BLR,BOM,BLR → BOM,2026-04-20 21:55:41.702,2026-04-20 23:01:41.702,2026-04-20,21,2026-04-20,23,66.0,1.1,0,0
28,6E195,2,IndiGo,13,20260420,CCU,DEL,CCU → DEL,2026-04-20 21:44:41.703,2026-04-20 22:39:41.703,2026-04-20,21,2026-04-20,22,55.0,0.9166666666666666,0,0
29,UK003,4,Vistara,24,20260420,HYD,DEL,HYD → DEL,2026-04-20 21:41:41.700,2026-04-21 02:19:41.700,2026-04-20,21,2026-04-21,2,278.0,4.633333333333334,0,0
30,UK026,4,Vistara,25,20260420,HYD,MAA,HYD → MAA,2026-04-20 21:38:41.701,2026-04-20 23:44:41.701,2026-04-20,21,2026-04-20,23,126.0,2.1,0,0
31,6E174,2,IndiGo,19,20260420,DEL,HYD,DEL → HYD,2026-04-20 21:36:41.703,2026-04-20 22:16:41.703,2026-04-20,21,2026-04-20,22,40.0,0.6666666666666666,0,0
32,UK067,4,Vistara,7,20260420,BOM,CCU,BOM → CCU,2026-04-20 21:36:41.701,2026-04-21 01:02:41.701,2026-04-20,21,2026-04-21,1,206.0,3.433333333333333,0,0
33,SJ149,3,SpiceJet,25,20260420,HYD,MAA,HYD → MAA,2026-04-20 21:20:41.702,2026-04-20 23:20:42.000,2026-04-20,21,2026-04-20,23,120.00496666666666,2.0000827777777777,0,0
