flight_id,airline,source,destination,departure_time,arrival_time,duration,flight_id_original,airline_original,flight_prefix,flight_id_valid,departure_datetime,arrival_datetime_raw,is_overnight,arrival_datetime,flight_duration_minutes,flight_duration_hours,route,duration_anomaly,record_valid,is_duplicate
AI242,Air India,BLR,CCU,2026-04-20 16:41:41.704,2026-04-20 17:43:41.704,01:02:00,AI242,UNKNOWN,AI,True,2026-04-20 16:41:41.704,2026-04-20 17:43:41.704,0,2026-04-20 17:43:41.704,62.0,1.0333333333333334,BLR → CCU,0,True,1
SJ142,SpiceJet,CCU,BOM,2026-04-20 15:14:41.702,2026-04-20 16:56:41.702,01:42:00,SJ142,SpiceJet,SJ,True,2026-04-20 15:14:41.702,2026-04-20 16:56:41.702,0,2026-04-20 16:56:41.702,102.0,1.7,CCU → BOM,0,True,1
AI031,Air India,DEL,MAA,2026-04-20 13:05:41.701,2026-04-20 16:11:41.701,03:06:00,AI031,Air India,AI,True,2026-04-20 13:05:41.701,2026-04-20 16:11:41.701,0,2026-04-20 16:11:41.701,186.0,3.1,DEL → MAA,0,True,1
SJ146,SpiceJet,HYD,BLR,2026-04-19 22:37:41.702,2026-04-20 00:33:41.702,01:56:00,SJ146,SpiceJet,SJ,True,2026-04-19 22:37:41.702,2026-04-20 00:33:41.702,0,2026-04-20 00:33:41.702,116.0,1.9333333333333333,HYD → BLR,0,True,1
UK163,Vistara,DEL,HYD,2026-04-19 07:22:41.703,2026-04-19 09:04:41.703,01:42:00,UK163,Vistara,UK,True,2026-04-19 07:22:41.703,2026-04-19 09:04:41.703,0,2026-04-19 09:04:41.703,102.0,1.7,DEL → HYD,0,True,1
AI020,Air India,BOM,BLR,2026-04-19 03:53:41.701,2026-04-19 06:21:41.701,02:28:00,AI020,,AI,True,2026-04-19 03:53:41.701,2026-04-19 06:21:41.701,0,2026-04-19 06:21:41.701,148.0,2.466666666666667,BOM → BLR,0,True,1
SJ118,SpiceJet,DEL,BOM,2026-04-19 01:08:41.702,2026-04-19 02:33:41.702,01:25:00,SJ118,SpiceJet,SJ,True,2026-04-19 01:08:41.702,2026-04-19 02:33:41.702,0,2026-04-19 02:33:41.702,85.0,1.4166666666666667,DEL → BOM,0,True,1
AI043,Air India,CCU,DEL,2026-04-19 00:28:41.701,2026-04-19 04:37:41.701,04:09:00,AI043,Air India,AI,True,2026-04-19 00:28:41.701,2026-04-19 04:37:41.701,0,2026-04-19 04:37:41.701,249.0,4.15,CCU → DEL,0,True,1
AI070,Air India,CCU,DEL,2026-04-19 00:05:41.702,2026-04-19 01:44:41.702,01:39:00,AI070,Air India,AI,True,2026-04-19 00:05:41.702,2026-04-19 01:44:41.702,0,2026-04-19 01:44:41.702,99.0,1.65,CCU → DEL,0,True,1
UK013,Vistara,BOM,MAA,2026-04-18 23:52:41.701,2026-04-19 02:52:41.701,03:00:00,UK013,Vistara,UK,True,2026-04-18 23:52:41.701,2026-04-19 02:52:41.701,0,2026-04-19 02:52:41.701,180.0,3.0,BOM → MAA,0,True,1
UK139,Vistara,BLR,MAA,2026-04-18 10:54:41.703,2026-04-18 14:31:41.703,03:37:00,UK139,,UK,True,2026-04-18 10:54:41.703,2026-04-18 14:31:41.703,0,2026-04-18 14:31:41.703,217.0,3.6166666666666667,BLR → MAA,0,True,1
UK160,Vistara,BLR,BOM,2026-04-18 06:42:41.703,2026-04-18 10:58:41.703,04:16:00,UK160,Vistara,UK,True,2026-04-18 06:42:41.703,2026-04-18 10:58:41.703,0,2026-04-18 10:58:41.703,256.0,4.266666666666667,BLR → BOM,0,True,1
UK180,Vistara,CCU,MAA,2026-04-17 21:18:41.703,2026-04-17 23:29:41.703,02:11:00,UK180,Vistara,UK,True,2026-04-17 21:18:41.703,2026-04-17 23:29:41.703,0,2026-04-17 23:29:41.703,131.0,2.183333333333333,CCU → MAA,0,True,1
UK049,Vistara,HYD,BOM,2026-04-17 19:47:41.701,2026-04-17 20:32:41.701,00:45:00,UK049,Vistara,UK,True,2026-04-17 19:47:41.701,2026-04-17 20:32:41.701,0,2026-04-17 20:32:41.701,45.0,0.75,HYD → BOM,0,True,1
SJ037,SpiceJet,BLR,BOM,2026-04-17 19:14:41.701,2026-04-17 22:31:41.701,03:17:00,SJ037,SpiceJet,SJ,True,2026-04-17 19:14:41.701,2026-04-17 22:31:41.701,0,2026-04-17 22:31:41.701,197.0,3.283333333333333,BLR → BOM,0,True,1
