payment_id,booking_id,amount,payment_method,amount_numeric,amount_valid
PAY1018,B1798,,CARD,,False
PAY1019,B1875,INVALID,NETBANKING,,False
PAY1024,B1523,,CARD,,False
PAY1026,B1120,,CARD,,False
PAY1033,B1012,INVALID,CARD,,False
PAY1060,B1572,,NETBANKING,,False
PAY1069,B1578,,UPI,,False
PAY1071,B1174,,NETBANKING,,False
PAY1077,B1501,INVALID,UPI,,False
PAY1173,B1722,INVALID,CARD,,False
PAY1184,B1019,,UPI,,False
PAY1186,B1132,,UPI,,False
PAY1207,B1159,,CARD,,False
PAY1213,B1725,INVALID,NETBANKING,,False
PAY1220,B1805,,CARD,,False
PAY1244,B1844,INVALID,CARD,,False
PAY1249,B1816,INVALID,NETBANKING,,False
PAY1256,B1124,,CARD,,False
PAY1269,B1660,,CARD,,False
PAY1273,B1341,,NETBANKING,,False
PAY1283,B1118,,NETBANKING,,False
PAY1290,B1605,INVALID,CARD,,False
PAY1311,B1930,,UPI,,False
PAY1323,B1314,INVALID,NETBANKING,,False
PAY1328,B1990,,UPI,,False
PAY1344,B1389,,NETBANKING,,False
PAY1361,B1702,,NETBANKING,,False
PAY1387,B1997,,UPI,,False
PAY1392,B1359,,CARD,,False
PAY1408,B1146,INVALID,UPI,,False
PAY1428,B1490,INVALID,CARD,,False
PAY1433,B1225,INVALID,CARD,,False
PAY1448,B1235,INVALID,NETBANKING,,False
PAY1450,B1227,INVALID,CARD,,False
PAY1456,B1342,,NETBANKING,,False
PAY1460,B1178,,NETBANKING,,False
PAY1488,B1763,INVALID,CARD,,False
PAY1534,B1010,INVALID,NETBANKING,,False
PAY1548,B1896,,CARD,,False
PAY1568,B1932,,UPI,,False
PAY1576,B1581,INVALID,UPI,,False
PAY1581,B1531,,UPI,,False
PAY1590,B1144,INVALID,CARD,,False
PAY1591,B1568,,NETBANKING,,False
PAY1599,B1517,,CARD,,False
PAY1615,B1730,,NETBANKING,,False
PAY1623,B1111,,NETBANKING,,False
PAY1644,B1521,,UPI,,False
PAY1657,B1821,,UPI,,False
PAY1664,B1033,,UPI,,False
PAY1677,B1756,INVALID,NETBANKING,,False
PAY1683,B1045,INVALID,NETBANKING,,False
PAY1700,B1140,INVALID,CARD,,False
PAY1704,B1446,,UPI,,False
PAY1705,B1289,,UPI,,False
PAY1710,B1426,,CARD,,False
PAY1721,B1254,,UPI,,False
PAY1739,B1443,INVALID,UPI,,False
PAY1742,B1532,,CARD,,False
PAY1748,B1821,,CARD,,False
PAY1756,B1699,INVALID,NETBANKING,,False
PAY1757,B1056,,CARD,,False
PAY1766,B1923,,UPI,,False
PAY1778,B1576,INVALID,CARD,,False
PAY1817,B1367,INVALID,UPI,,False
PAY1832,B1173,INVALID,UPI,,False
PAY1838,B1241,,NETBANKING,,False
PAY1850,B1369,INVALID,CARD,,False
PAY1852,B1151,INVALID,CARD,,False
PAY1890,B1272,,UPI,,False
PAY1897,B1106,INVALID,UPI,,False
PAY1921,B1514,,UPI,,False
PAY1922,B1192,,UPI,,False
PAY1925,B1872,,NETBANKING,,False
PAY1949,B1376,,UPI,,False
PAY1961,B1585,,UPI,,False
PAY1981,B1324,INVALID,CARD,,False
PAY1992,B1997,,CARD,,False
